step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
100,97.359375,1875.171875,5.328125,0.0,0.0,0.0,1.578125,1999.359375,0.546875,0.0,0.0,0.0
200,45.78125,1664.328125,7.96875,223.703125,7.125,4.421875,7.046875,1722.078125,3.734375,88.46875,65.546875,25.296875
300,42.703125,1707.84375,9.3125,194.09375,6.125,4.046875,3.53125,1772.03125,1.984375,94.359375,35.296875,15.90625
400,44.296875,1722.484375,7.625,183.390625,5.171875,3.6875,2.71875,1788.0,1.484375,93.390625,27.421875,15.109375
500,45.984375,1722.96875,8.3125,178.703125,5.015625,3.484375,2.34375,1795.28125,1.125,91.515625,25.25,13.046875
600,49.765625,1719.296875,10.609375,171.71875,5.0625,3.59375,2.546875,1801.828125,1.015625,90.9375,23.984375,14.078125
700,51.140625,1715.109375,9.9375,171.59375,6.25,3.890625,2.40625,1800.21875,1.203125,86.421875,29.03125,13.3125
800,56.15625,1701.859375,12.0625,170.5625,6.125,4.21875,2.46875,1800.75,1.265625,86.65625,30.46875,13.8125
900,57.09375,1700.171875,10.984375,167.96875,6.4375,4.46875,2.328125,1803.203125,1.203125,85.6875,30.046875,12.71875
1000,62.0625,1682.390625,12.859375,169.046875,7.421875,4.4375,2.453125,1800.125,1.265625,84.765625,31.390625,13.703125
1100,65.5,1670.984375,12.421875,168.9375,7.25,4.734375,2.59375,1798.46875,1.15625,83.96875,36.21875,11.625
1200,67.09375,1655.890625,16.578125,168.96875,8.0,4.578125,2.65625,1798.40625,0.859375,81.9375,35.046875,12.765625
1300,70.484375,1650.984375,15.4375,167.84375,8.296875,4.59375,2.515625,1799.09375,0.953125,81.90625,34.375,13.125
1400,72.3125,1631.875,16.9375,169.59375,8.296875,4.625,2.625,1795.859375,1.21875,81.875,37.40625,12.40625
1500,74.65625,1617.109375,20.625,169.578125,9.8125,4.71875,2.875,1793.96875,1.21875,80.890625,39.078125,11.96875
1600,77.828125,1606.4375,19.015625,169.734375,11.515625,4.5,2.65625,1792.640625,1.375,79.109375,40.921875,12.609375
1700,80.0625,1589.171875,23.609375,168.359375,11.78125,4.859375,3.21875,1791.0625,1.6875,79.5625,45.28125,12.953125
1800,81.9375,1572.765625,27.65625,172.203125,11.25,5.3125,3.390625,1783.46875,1.875,77.609375,46.75,14.203125
1900,84.90625,1555.03125,29.625,171.8125,10.9375,5.921875,3.40625,1783.328125,1.53125,77.34375,46.46875,13.65625
2000,92.859375,1512.625,31.84375,174.296875,14.140625,5.59375,3.46875,1777.234375,1.625,77.640625,52.375,14.09375
2100,91.359375,1527.15625,33.984375,171.265625,15.390625,6.359375,3.671875,1776.0625,2.09375,74.625,55.78125,14.296875
2200,93.796875,1495.53125,47.8125,170.625,16.578125,6.0,3.671875,1776.703125,2.078125,75.515625,53.03125,14.421875
2300,93.828125,1515.734375,27.015625,167.96875,18.984375,5.78125,3.5625,1777.875,1.6875,73.96875,56.515625,14.84375
2400,95.890625,1468.328125,44.90625,170.28125,18.5625,6.359375,4.0,1773.5,2.109375,72.890625,57.03125,15.40625
2500,95.640625,1451.203125,54.390625,168.28125,20.375,6.171875,4.078125,1772.09375,1.953125,71.828125,59.53125,18.625
2600,101.453125,1420.21875,55.609375,169.34375,21.171875,7.3125,4.078125,1768.234375,2.0,71.171875,67.40625,14.640625
2700,101.390625,1424.453125,51.5625,169.625,19.6875,10.109375,4.46875,1764.5,1.796875,70.75,69.078125,15.953125
2800,105.578125,1429.25,48.5,167.8125,21.390625,8.015625,4.53125,1763.53125,2.109375,69.4375,68.765625,19.390625
2900,101.015625,1412.078125,63.078125,166.015625,21.09375,8.5,4.34375,1763.078125,2.5,68.71875,69.53125,20.015625
3000,103.90625,1398.21875,51.09375,167.59375,24.109375,10.828125,4.359375,1757.125,2.453125,69.84375,77.21875,15.453125
3100,101.109375,1406.671875,57.84375,165.265625,26.0,10.859375,4.484375,1756.6875,2.359375,67.578125,78.875,17.75
3200,102.734375,1401.28125,56.203125,167.171875,23.46875,13.109375,5.328125,1750.734375,2.375,66.453125,87.34375,16.421875
3300,106.34375,1379.03125,56.171875,168.359375,23.453125,12.484375,5.171875,1747.6875,2.640625,66.21875,84.328125,21.140625
3400,107.78125,1368.59375,45.109375,170.390625,24.5625,12.65625,5.90625,1737.875,3.296875,65.671875,93.453125,17.296875
3500,108.5625,1356.828125,59.453125,171.296875,28.15625,13.359375,5.65625,1734.640625,3.125,64.484375,95.390625,20.890625
3600,107.234375,1349.078125,54.796875,167.5,28.484375,12.609375,5.734375,1733.8125,4.375,64.546875,96.640625,19.671875
3700,105.96875,1347.609375,56.40625,168.46875,28.3125,12.453125,5.75,1732.65625,3.96875,63.703125,93.390625,22.953125
3800,107.65625,1327.65625,63.09375,169.328125,32.171875,12.0625,5.953125,1729.828125,3.5,64.5,97.15625,22.875
3900,106.21875,1312.0625,70.875,169.375,28.953125,15.5,6.09375,1727.3125,3.03125,64.0,101.140625,20.5625
4000,106.53125,1341.765625,53.65625,168.75,32.171875,14.03125,6.09375,1723.1875,3.96875,62.953125,104.78125,23.40625
4100,104.40625,1330.453125,63.234375,169.84375,34.90625,14.859375,6.15625,1717.578125,3.609375,63.03125,113.390625,23.78125
4200,108.8125,1299.828125,75.734375,168.640625,36.53125,16.46875,6.296875,1714.15625,4.0625,62.265625,115.5625,22.671875
4300,107.4375,1329.140625,58.0,167.65625,35.3125,15.8125,6.671875,1713.421875,4.0625,60.921875,113.546875,22.609375
4400,107.390625,1309.703125,65.125,166.21875,35.171875,16.28125,6.96875,1709.984375,4.1875,60.515625,124.3125,23.765625
4500,105.390625,1312.9375,62.96875,167.25,39.75,17.375,7.140625,1705.578125,4.578125,60.140625,127.34375,21.53125
4600,104.5625,1324.359375,59.109375,166.4375,44.984375,15.734375,7.296875,1703.046875,4.375,59.0,129.46875,24.71875
4700,107.109375,1293.078125,61.640625,168.375,41.671875,17.796875,7.15625,1695.78125,5.375,58.6875,131.15625,27.25
4800,104.78125,1257.125,85.953125,171.4375,44.90625,16.90625,7.65625,1687.421875,5.171875,59.828125,134.03125,28.234375
4900,105.265625,1298.671875,63.84375,169.546875,43.0,18.1875,7.953125,1684.25,5.578125,58.828125,141.28125,23.765625
5000,105.875,1274.65625,66.34375,169.0,45.890625,18.625,8.65625,1680.390625,5.8125,57.546875,137.203125,30.5
5100,103.953125,1304.40625,56.515625,170.625,43.90625,19.375,9.0,1673.609375,8.234375,58.390625,140.921875,27.203125
5200,106.765625,1252.84375,73.875,173.484375,45.890625,21.078125,8.859375,1664.21875,8.375,57.25,151.046875,30.4375
5300,104.984375,1285.484375,61.484375,171.734375,45.5,20.390625,8.765625,1668.15625,7.515625,57.0,147.546875,29.21875
5400,104.59375,1273.828125,64.640625,172.390625,49.859375,21.5625,8.0,1667.0625,5.109375,56.453125,144.3125,33.71875
5500,102.09375,1284.546875,64.234375,169.5625,48.125,20.640625,8.40625,1665.984375,7.15625,55.328125,148.890625,33.296875
5600,99.015625,1317.953125,54.4375,167.375,43.640625,23.328125,8.953125,1666.75,5.9375,55.265625,152.625,27.515625
5700,98.015625,1285.203125,68.03125,171.53125,42.8125,22.984375,8.34375,1663.359375,6.0625,56.296875,149.65625,33.828125
5800,97.96875,1268.296875,76.0625,172.0,46.046875,21.671875,8.5625,1653.40625,8.40625,56.140625,163.875,27.0625
5900,98.359375,1274.921875,75.390625,171.515625,45.203125,22.390625,9.015625,1654.53125,7.125,55.796875,155.203125,37.515625
6000,98.859375,1239.546875,76.015625,171.390625,50.078125,22.734375,9.03125,1644.734375,11.515625,55.421875,171.640625,31.421875
6100,97.984375,1276.921875,61.390625,171.484375,49.421875,22.625,9.359375,1645.203125,7.203125,53.765625,179.84375,28.796875
6200,97.125,1281.0625,63.4375,171.09375,51.640625,25.046875,9.53125,1638.96875,9.28125,54.875,169.078125,37.109375
